chunk_id,label
BoletimArbo_SE01_16jan26_chunk_000,cenario_epidemiologico
BoletimArbo_SE01_16jan26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE01_16jan26_chunk_002,recomendacoes_operacionais
BoletimArbo_SE01_16jan26_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE01_16jan26_chunk_004,orientacoes_clinicas_sintomas
BoletimArbo_SE02_23jan26_chunk_000,cenario_epidemiologico
BoletimArbo_SE02_23jan26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE02_23jan26_chunk_002,politicas_publicas_campanhas
BoletimArbo_SE02_23jan26_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE02_23jan26_chunk_004,orientacoes_clinicas_sintomas
BoletimArbo_SE03_30jan26_chunk_000,cenario_epidemiologico
BoletimArbo_SE03_30jan26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE03_30jan26_chunk_002,recomendacoes_operacionais
BoletimArbo_SE03_30jan26_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE03_30jan26_chunk_004,orientacoes_clinicas_sintomas
BoletimArbo_SE04_06fev26_chunk_000,cenario_epidemiologico
BoletimArbo_SE04_06fev26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE04_06fev26_chunk_002,recomendacoes_operacionais
BoletimArbo_SE04_06fev26_chunk_003,recomendacoes_operacionais
BoletimArbo_SE04_06fev26_chunk_004,orientacoes_clinicas_sintomas
BoletimArbo_SE05_13fev26_chunk_000,cenario_epidemiologico
BoletimArbo_SE05_13fev26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE05_13fev26_chunk_002,recomendacoes_operacionais
BoletimArbo_SE05_13fev26_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE05_13fev26_chunk_004,politicas_publicas_campanhas
BoletimArbo_SE05_13fev26_chunk_005,orientacoes_clinicas_sintomas
BoletimArbo_SE06_20fev26_chunk_000,cenario_epidemiologico
BoletimArbo_SE06_20fev26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE06_20fev26_chunk_002,politicas_publicas_campanhas
BoletimArbo_SE06_20fev26_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE06_20fev26_chunk_004,orientacoes_clinicas_sintomas
BoletimArbo_SE07_27fev26_chunk_000,cenario_epidemiologico
BoletimArbo_SE07_27fev26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE07_27fev26_chunk_002,recomendacoes_operacionais
BoletimArbo_SE07_27fev26_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE07_27fev26_chunk_004,politicas_publicas_campanhas
BoletimArbo_SE07_27fev26_chunk_005,orientacoes_clinicas_sintomas
BoletimArbo_SE08_06mar26_chunk_000,cenario_epidemiologico
BoletimArbo_SE08_06mar26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE08_06mar26_chunk_002,politicas_publicas_campanhas
BoletimArbo_SE08_06mar26_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE08_06mar26_chunk_004,orientacoes_clinicas_sintomas
BoletimArbo_SE09_13mar26_chunk_000,cenario_epidemiologico
BoletimArbo_SE09_13mar26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE09_13mar26_chunk_002,politicas_publicas_campanhas
BoletimArbo_SE09_13mar26_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE09_13mar26_chunk_004,orientacoes_clinicas_sintomas
BoletimArbo_SE09_13mar26_chunk_005,orientacoes_clinicas_sintomas
BoletimArbo_SE10_20mar26_chunk_000,cenario_epidemiologico
BoletimArbo_SE10_20mar26_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE10_20mar26_chunk_002,recomendacoes_operacionais
BoletimArbo_SE10_20mar26_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE10_20mar26_chunk_004,politicas_publicas_campanhas
BoletimArbo_SE10_20mar26_chunk_005,orientacoes_clinicas_sintomas
BoletimArbo_SE11_urbanas_chunk_000,cenario_epidemiologico
BoletimArbo_SE11_urbanas_chunk_001,prevencao_controle_vetorial
BoletimArbo_SE11_urbanas_chunk_002,recomendacoes_operacionais
BoletimArbo_SE11_urbanas_chunk_003,politicas_publicas_campanhas
BoletimArbo_SE11_urbanas_chunk_004,orientacoes_clinicas_sintomas
BoletimArbo_SE11_urbanas_chunk_005,orientacoes_clinicas_sintomas
